Score,WOR
34.0,False
1320.0,True
1321.0,True
288.0,False
1320.0,True
1535.0,True
1307.0,True
1331.0,True
1311.0,True
1300.0,True
1533.0,True
-39.0,False
1520.0,True
1321.0,True
1335.0,True
1328.0,True
1338.0,True
1341.0,True
1325.0,True
254.0,False
1538.0,True
1325.0,True
1292.0,True
260.0,False
1309.0,True
1340.0,True
-201.0,False
1328.0,True
1333.0,True
-49.0,False
-59.0,False
1505.0,True
1526.0,True
1333.0,True
-128.0,False
-279.0,False
1329.0,True
1317.0,True
86.0,False
1328.0,True
1317.0,True
1320.0,True
1334.0,True
1330.0,True
1340.0,True
1313.0,True
-205.0,False
1345.0,True
1328.0,True
1336.0,True
284.0,False
1288.0,True
1320.0,True
1310.0,True
1314.0,True
1330.0,True
1323.0,True
258.0,False
1309.0,True
1302.0,True
1310.0,True
84.0,False
1314.0,True
1328.0,True
-209.0,False
1328.0,True
1514.0,True
1313.0,True
1310.0,True
112.0,False
139.0,False
-337.0,False
1321.0,True
253.0,False
1532.0,True
-152.0,False
1337.0,True
1329.0,True
1325.0,True
1332.0,True
1302.0,True
1329.0,True
1325.0,True
1329.0,True
1496.0,True
1335.0,True
224.0,False
-129.0,False
-428.0,False
1302.0,True
1342.0,True
1336.0,True
1340.0,True
159.0,False
1310.0,True
1527.0,True
-174.0,False
1327.0,True
1329.0,True
-376.0,False
1343.0,True
230.0,False
1319.0,True
1318.0,True
1524.0,True
1332.0,True
1319.0,True
1340.0,True
1511.0,True
1326.0,True
1309.0,True
-377.0,False
1325.0,True
1301.0,True
1306.0,True
-12.0,False
1322.0,True
1321.0,True
1313.0,True
1324.0,True
1340.0,True
1326.0,True
1299.0,True
-266.0,False
249.0,False
507.0,False
270.0,False
1312.0,True
1323.0,True
-31.0,False
1316.0,True
1315.0,True
1521.0,True
1306.0,True
1326.0,True
1322.0,True
1531.0,True
-163.0,False
55.0,False
1320.0,True
-36.0,False
1302.0,True
15.0,False
1326.0,True
167.0,False
1308.0,True
1317.0,True
1345.0,True
1263.0,True
1316.0,True
-196.0,False
1304.0,True
1295.0,True
1326.0,True
1321.0,True
-16.0,False
1327.0,True
1313.0,True
1516.0,True
1321.0,True
1336.0,True
456.0,False
1292.0,True
16.0,False
1331.0,True
1339.0,True
1330.0,True
1303.0,True
128.0,False
272.0,False
1305.0,True
1337.0,True
1322.0,True
1327.0,True
1335.0,True
1334.0,True
241.0,False
92.0,False
1319.0,True
-138.0,False
1321.0,True
-58.0,False
1329.0,True
1320.0,True
1321.0,True
1316.0,True
1529.0,True
1322.0,True
140.0,False
1315.0,True
1336.0,True
1344.0,True
-290.0,False
1507.0,True
1306.0,True
472.0,False
1319.0,True
1323.0,True
-272.0,False
1299.0,True
1334.0,True
1317.0,True
1320.0,True
1311.0,True
1293.0,True
1333.0,True
221.0,False
1322.0,True
1336.0,True
1313.0,True
243.0,False
1323.0,True
1311.0,True
1319.0,True
-184.0,False
1322.0,True
-99.0,False
-105.0,False
1317.0,True
-382.0,False
1311.0,True
1327.0,True
1317.0,True
1331.0,True
1322.0,True
131.0,False
1327.0,True
93.0,False
1313.0,True
1311.0,True
-333.0,False
1514.0,True
1327.0,True
1329.0,True
1336.0,True
480.0,False
11.0,False
1336.0,True
1318.0,True
1332.0,True
1334.0,True
-324.0,False
1313.0,True
1341.0,True
1316.0,True
1335.0,True
1336.0,True
20.0,False
1512.0,True
-349.0,False
1330.0,True
1319.0,True
1325.0,True
276.0,False
-181.0,False
1318.0,True
-131.0,False
-145.0,False
78.0,False
1517.0,True
1305.0,True
1334.0,True
1326.0,True
1336.0,True
1321.0,True
1337.0,True
89.0,False
1325.0,True
315.0,False
178.0,False
201.0,False
-325.0,False
1332.0,True
236.0,False
-348.0,False
1333.0,True
-69.0,False
1485.0,True
1323.0,True
214.0,False
1525.0,True
1310.0,True
1309.0,True
-216.0,False
1323.0,True
-198.0,False
1324.0,True
266.0,False
1328.0,True
1336.0,True
-401.0,False
1525.0,True
