Score,WOR
-452.0,False
-454.0,False
-452.0,False
-435.0,False
-403.0,False
-484.0,False
-473.0,False
-443.0,False
-425.0,False
-418.0,False
-431.0,False
-445.0,False
-425.0,False
-397.0,False
-468.0,False
-406.0,False
-502.0,False
-463.0,False
-469.0,False
-436.0,False
-422.0,False
-479.0,False
-415.0,False
-486.0,False
-471.0,False
-411.0,False
-272.0,False
-409.0,False
-464.0,False
-364.0,False
-389.0,False
-359.0,False
-378.0,False
-416.0,False
-428.0,False
-439.0,False
-413.0,False
-433.0,False
-438.0,False
-469.0,False
-412.0,False
-526.0,False
-400.0,False
-372.0,False
-429.0,False
-440.0,False
-385.0,False
-415.0,False
-432.0,False
-299.0,False
-417.0,False
-405.0,False
-357.0,False
-455.0,False
-362.0,False
-544.0,False
-352.0,False
-483.0,False
-380.0,False
-433.0,False
-385.0,False
-463.0,False
-412.0,False
-468.0,False
-369.0,False
-564.0,False
-447.0,False
-355.0,False
-415.0,False
-321.0,False
-418.0,False
-352.0,False
-399.0,False
-440.0,False
-467.0,False
-408.0,False
-369.0,False
-305.0,False
-431.0,False
-348.0,False
-404.0,False
-459.0,False
-470.0,False
-395.0,False
-381.0,False
-389.0,False
-434.0,False
-355.0,False
-442.0,False
-372.0,False
-470.0,False
-373.0,False
-420.0,False
-473.0,False
-377.0,False
-447.0,False
-435.0,False
-438.0,False
-306.0,False
-414.0,False
-419.0,False
-446.0,False
-426.0,False
-370.0,False
-425.0,False
-450.0,False
-395.0,False
-423.0,False
-416.0,False
-409.0,False
-422.0,False
-440.0,False
-388.0,False
-492.0,False
-427.0,False
-400.0,False
-412.0,False
-381.0,False
-432.0,False
-419.0,False
-444.0,False
-418.0,False
-360.0,False
-419.0,False
-405.0,False
-405.0,False
-374.0,False
-388.0,False
-382.0,False
-446.0,False
-458.0,False
-139.0,False
-494.0,False
-386.0,False
-405.0,False
-384.0,False
-455.0,False
-413.0,False
-451.0,False
-380.0,False
-437.0,False
-368.0,False
-442.0,False
-394.0,False
-359.0,False
-409.0,False
-426.0,False
-415.0,False
-506.0,False
-440.0,False
-462.0,False
-458.0,False
-418.0,False
-435.0,False
-424.0,False
-411.0,False
-407.0,False
-435.0,False
-344.0,False
-409.0,False
-427.0,False
-383.0,False
-409.0,False
-310.0,False
-417.0,False
-414.0,False
-444.0,False
-424.0,False
-426.0,False
-450.0,False
-466.0,False
-395.0,False
-414.0,False
-433.0,False
-412.0,False
-441.0,False
-374.0,False
-481.0,False
-410.0,False
-468.0,False
-394.0,False
-438.0,False
-458.0,False
-401.0,False
-415.0,False
-423.0,False
-411.0,False
-434.0,False
-411.0,False
-402.0,False
-434.0,False
-400.0,False
-418.0,False
-399.0,False
-391.0,False
-428.0,False
-411.0,False
-378.0,False
-351.0,False
-468.0,False
-336.0,False
-434.0,False
-461.0,False
-376.0,False
-400.0,False
-410.0,False
-426.0,False
-422.0,False
-368.0,False
-428.0,False
-402.0,False
-350.0,False
-347.0,False
-428.0,False
-419.0,False
-339.0,False
-387.0,False
-447.0,False
-353.0,False
-402.0,False
-407.0,False
-140.0,False
-430.0,False
-379.0,False
-458.0,False
-453.0,False
-403.0,False
-459.0,False
-397.0,False
-410.0,False
-423.0,False
-417.0,False
-419.0,False
-465.0,False
-399.0,False
-514.0,False
-361.0,False
-438.0,False
-479.0,False
-453.0,False
-404.0,False
-421.0,False
-429.0,False
-391.0,False
-432.0,False
-460.0,False
-419.0,False
-328.0,False
-385.0,False
-383.0,False
-416.0,False
-404.0,False
-409.0,False
-411.0,False
-487.0,False
-449.0,False
-426.0,False
-336.0,False
-326.0,False
-370.0,False
