Score,WOR
-419.0,False
-423.0,False
-401.0,False
-368.0,False
278.0,False
-362.0,False
-359.0,False
-368.0,False
-336.0,False
-400.0,False
-97.0,False
-332.0,False
-376.0,False
-352.0,False
-351.0,False
-393.0,False
-230.0,False
-25.0,False
-400.0,False
-354.0,False
-93.0,False
51.0,False
-448.0,False
-525.0,False
-374.0,False
-410.0,False
-340.0,False
-517.0,False
-291.0,False
-402.0,False
-421.0,False
-150.0,False
-314.0,False
-165.0,False
-6.0,False
-353.0,False
-88.0,False
-324.0,False
-329.0,False
-89.0,False
-167.0,False
-315.0,False
-277.0,False
-382.0,False
89.0,False
-388.0,False
1018.0,True
-466.0,False
-2.0,False
-99.0,False
-205.0,False
-256.0,False
-308.0,False
59.0,False
-373.0,False
-191.0,False
-126.0,False
1391.0,True
-10.0,False
-72.0,False
39.0,False
-366.0,False
-46.0,False
-394.0,False
31.0,False
190.0,False
-217.0,False
-281.0,False
-405.0,False
-320.0,False
298.0,False
-173.0,False
117.0,False
-244.0,False
135.0,False
-149.0,False
220.0,False
-384.0,False
-259.0,False
-339.0,False
-167.0,False
-671.0,False
215.0,False
-400.0,False
1244.0,True
-73.0,False
1255.0,True
75.0,False
-273.0,False
-42.0,False
1141.0,True
-132.0,False
-327.0,False
-472.0,False
-432.0,False
-298.0,False
-308.0,False
-389.0,False
-312.0,False
0.0,False
-135.0,False
483.0,False
73.0,False
-452.0,False
89.0,False
-221.0,False
-138.0,False
-244.0,False
-270.0,False
-193.0,False
5.0,False
-460.0,False
-382.0,False
-493.0,False
-506.0,False
-384.0,False
-449.0,False
-341.0,False
-49.0,False
-320.0,False
-457.0,False
-169.0,False
-536.0,False
-469.0,False
-456.0,False
-62.0,False
-192.0,False
-286.0,False
-8.0,False
-242.0,False
-410.0,False
-407.0,False
-206.0,False
-213.0,False
-283.0,False
-219.0,False
-48.0,False
-97.0,False
-512.0,False
-674.0,False
-474.0,False
-392.0,False
-487.0,False
-321.0,False
-451.0,False
-242.0,False
204.0,False
-303.0,False
-299.0,False
-81.0,False
-42.0,False
-84.0,False
0.0,False
18.0,False
-178.0,False
-243.0,False
37.0,False
223.0,False
-232.0,False
-517.0,False
1164.0,True
-482.0,False
-318.0,False
-251.0,False
1118.0,True
1525.0,True
325.0,False
-515.0,False
1326.0,True
-392.0,False
1025.0,True
-406.0,False
1379.0,True
-24.0,False
-280.0,False
-72.0,False
1186.0,True
-291.0,False
-322.0,False
110.0,False
-350.0,False
-241.0,False
-107.0,False
-350.0,False
-365.0,False
43.0,False
201.0,False
22.0,False
-419.0,False
-315.0,False
-195.0,False
-73.0,False
-34.0,False
1067.0,True
182.0,False
10.0,False
-242.0,False
-293.0,False
53.0,False
189.0,False
290.0,False
1030.0,True
-280.0,False
-362.0,False
1080.0,True
-283.0,False
-165.0,False
282.0,False
-251.0,False
84.0,False
-181.0,False
-280.0,False
160.0,False
-208.0,False
-357.0,False
149.0,False
-180.0,False
-18.0,False
229.0,False
149.0,False
1475.0,True
-109.0,False
349.0,False
79.0,False
277.0,False
-517.0,False
-410.0,False
27.0,False
-325.0,False
-223.0,False
-190.0,False
1131.0,True
1153.0,True
1413.0,True
-468.0,False
-430.0,False
-437.0,False
193.0,False
-320.0,False
-484.0,False
-36.0,False
251.0,False
-307.0,False
-347.0,False
-60.0,False
-292.0,False
9.0,False
-418.0,False
-82.0,False
-162.0,False
-37.0,False
-444.0,False
1097.0,True
-354.0,False
1162.0,True
1104.0,True
-249.0,False
116.0,False
-242.0,False
24.0,False
-330.0,False
40.0,False
95.0,False
-383.0,False
193.0,False
-31.0,False
-121.0,False
-512.0,False
-334.0,False
-377.0,False
-169.0,False
-336.0,False
-1088.0,False
-361.0,False
-314.0,False
-303.0,False
-125.0,False
-442.0,False
-143.0,False
-66.0,False
-113.0,False
112.0,False
82.0,False
-658.0,False
-340.0,False
-499.0,False
-313.0,False
-96.0,False
-553.0,False
-483.0,False
73.0,False
390.0,False
132.0,False
64.0,False
-262.0,False
-181.0,False
-264.0,False
-100.0,False
-258.0,False
-209.0,False
-247.0,False
-251.0,False
-183.0,False
-78.0,False
-87.0,False
-329.0,False
-67.0,False
-191.0,False
-383.0,False
63.0,False
38.0,False
-451.0,False
-53.0,False
-39.0,False
-209.0,False
-404.0,False
-249.0,False
-18.0,False
-121.0,False
-309.0,False
-439.0,False
-170.0,False
-211.0,False
272.0,False
-90.0,False
-328.0,False
-388.0,False
-466.0,False
-432.0,False
-440.0,False
-324.0,False
-217.0,False
-378.0,False
-219.0,False
-49.0,False
-385.0,False
-302.0,False
-448.0,False
-421.0,False
-142.0,False
-219.0,False
-36.0,False
-317.0,False
74.0,False
-172.0,False
109.0,False
216.0,False
-186.0,False
-423.0,False
-4.0,False
-216.0,False
-445.0,False
-457.0,False
-192.0,False
-388.0,False
-417.0,False
-263.0,False
-612.0,False
-186.0,False
