Score,WOR
-505.0,False
-523.0,False
-519.0,False
-511.0,False
-508.0,False
-508.0,False
-508.0,False
-505.0,False
-503.0,False
-506.0,False
-520.0,False
-506.0,False
-510.0,False
-522.0,False
-509.0,False
-505.0,False
-506.0,False
-516.0,False
-507.0,False
-526.0,False
-513.0,False
-511.0,False
-515.0,False
-512.0,False
-506.0,False
-509.0,False
-504.0,False
-512.0,False
-505.0,False
-505.0,False
-507.0,False
-508.0,False
-509.0,False
-509.0,False
-507.0,False
-511.0,False
-508.0,False
-506.0,False
-510.0,False
-510.0,False
-507.0,False
-510.0,False
-513.0,False
-509.0,False
-510.0,False
-517.0,False
-515.0,False
-508.0,False
-509.0,False
-515.0,False
-507.0,False
-514.0,False
-520.0,False
-506.0,False
-506.0,False
-507.0,False
-507.0,False
-504.0,False
-507.0,False
-510.0,False
-508.0,False
-509.0,False
-509.0,False
-509.0,False
-510.0,False
-510.0,False
-505.0,False
-511.0,False
-507.0,False
-508.0,False
-511.0,False
-512.0,False
-511.0,False
-506.0,False
-511.0,False
-506.0,False
-513.0,False
-508.0,False
-512.0,False
-509.0,False
-510.0,False
-513.0,False
-505.0,False
-513.0,False
-511.0,False
-512.0,False
-508.0,False
-510.0,False
-504.0,False
-560.0,False
-514.0,False
-517.0,False
-509.0,False
-504.0,False
-516.0,False
-514.0,False
-519.0,False
-518.0,False
-504.0,False
-508.0,False
-528.0,False
-513.0,False
-508.0,False
-519.0,False
-535.0,False
-511.0,False
-513.0,False
-506.0,False
-519.0,False
487.0,True
-516.0,False
-515.0,False
-508.0,False
-505.0,False
-511.0,False
-510.0,False
-509.0,False
-516.0,False
-517.0,False
-508.0,False
-518.0,False
-504.0,False
-512.0,False
-504.0,False
-504.0,False
-512.0,False
-509.0,False
-512.0,False
-504.0,False
-507.0,False
-517.0,False
-529.0,False
-513.0,False
-509.0,False
-513.0,False
-515.0,False
-509.0,False
-517.0,False
-508.0,False
-514.0,False
-513.0,False
-518.0,False
-509.0,False
-510.0,False
-520.0,False
-518.0,False
-509.0,False
-511.0,False
-508.0,False
-535.0,False
-506.0,False
-504.0,False
-504.0,False
-520.0,False
-504.0,False
-519.0,False
-507.0,False
-517.0,False
-505.0,False
-504.0,False
-508.0,False
-536.0,False
-503.0,False
-516.0,False
-511.0,False
-523.0,False
-518.0,False
-504.0,False
-510.0,False
-520.0,False
-505.0,False
-516.0,False
-518.0,False
-506.0,False
-526.0,False
-506.0,False
-508.0,False
-525.0,False
-508.0,False
-511.0,False
-506.0,False
-507.0,False
-519.0,False
-509.0,False
-515.0,False
-503.0,False
-504.0,False
-530.0,False
-515.0,False
-509.0,False
-520.0,False
-519.0,False
