Score,WOR
-519.0,False
-509.0,False
-511.0,False
-510.0,False
-508.0,False
-504.0,False
-511.0,False
-514.0,False
-517.0,False
477.0,True
-508.0,False
-536.0,False
-510.0,False
-512.0,False
-503.0,False
-503.0,False
-504.0,False
-507.0,False
-544.0,False
-503.0,False
-503.0,False
499.0,True
-504.0,False
-512.0,False
-513.0,False
-507.0,False
-525.0,False
-506.0,False
-512.0,False
-535.0,False
-510.0,False
-511.0,False
-506.0,False
-509.0,False
474.0,True
475.0,True
492.0,True
503.0,True
487.0,True
504.0,True
-503.0,False
-504.0,False
505.0,True
-514.0,False
-503.0,False
-504.0,False
-502.0,False
505.0,True
-503.0,False
504.0,True
505.0,True
-504.0,False
-503.0,False
-511.0,False
501.0,True
477.0,True
-520.0,False
505.0,True
501.0,True
-502.0,False
-503.0,False
505.0,True
503.0,True
504.0,True
-504.0,False
493.0,True
-519.0,False
-503.0,False
503.0,True
493.0,True
-502.0,False
505.0,True
-503.0,False
505.0,True
505.0,True
505.0,True
503.0,True
-519.0,False
504.0,True
-520.0,False
-519.0,False
-503.0,False
505.0,True
-521.0,False
494.0,True
-506.0,False
494.0,True
501.0,True
501.0,True
506.0,True
493.0,True
-504.0,False
-532.0,False
-528.0,False
-504.0,False
-520.0,False
-563.0,False
-543.0,False
476.0,True
493.0,True
-531.0,False
-522.0,False
500.0,True
493.0,True
505.0,True
505.0,True
502.0,True
-538.0,False
-514.0,False
500.0,True
-504.0,False
-504.0,False
494.0,True
482.0,True
-504.0,False
494.0,True
503.0,True
505.0,True
503.0,True
501.0,True
-504.0,False
502.0,True
501.0,True
505.0,True
504.0,True
503.0,True
505.0,True
-504.0,False
503.0,True
-503.0,False
480.0,True
495.0,True
505.0,True
503.0,True
505.0,True
505.0,True
493.0,True
503.0,True
505.0,True
504.0,True
504.0,True
-514.0,False
505.0,True
505.0,True
505.0,True
505.0,True
497.0,True
503.0,True
501.0,True
-503.0,False
505.0,True
497.0,True
505.0,True
502.0,True
492.0,True
505.0,True
503.0,True
502.0,True
505.0,True
504.0,True
505.0,True
504.0,True
-503.0,False
494.0,True
493.0,True
503.0,True
503.0,True
-512.0,False
498.0,True
503.0,True
506.0,True
505.0,True
505.0,True
505.0,True
497.0,True
498.0,True
493.0,True
496.0,True
501.0,True
498.0,True
-550.0,False
502.0,True
-503.0,False
-502.0,False
490.0,True
-503.0,False
450.0,True
503.0,True
505.0,True
496.0,True
505.0,True
505.0,True
505.0,True
505.0,True
504.0,True
493.0,True
-502.0,False
499.0,True
505.0,True
497.0,True
-504.0,False
505.0,True
505.0,True
498.0,True
505.0,True
498.0,True
497.0,True
497.0,True
498.0,True
505.0,True
-504.0,False
499.0,True
493.0,True
505.0,True
505.0,True
504.0,True
503.0,True
505.0,True
503.0,True
505.0,True
501.0,True
504.0,True
505.0,True
505.0,True
505.0,True
497.0,True
-503.0,False
496.0,True
-504.0,False
-504.0,False
493.0,True
505.0,True
496.0,True
-504.0,False
503.0,True
494.0,True
505.0,True
503.0,True
505.0,True
497.0,True
-504.0,False
501.0,True
496.0,True
502.0,True
-504.0,False
494.0,True
504.0,True
503.0,True
505.0,True
504.0,True
505.0,True
493.0,True
503.0,True
505.0,True
505.0,True
502.0,True
-515.0,False
505.0,True
499.0,True
502.0,True
501.0,True
494.0,True
505.0,True
505.0,True
-515.0,False
505.0,True
505.0,True
501.0,True
490.0,True
496.0,True
493.0,True
-503.0,False
504.0,True
504.0,True
505.0,True
-504.0,False
494.0,True
501.0,True
505.0,True
505.0,True
505.0,True
505.0,True
503.0,True
501.0,True
505.0,True
-504.0,False
493.0,True
-513.0,False
-504.0,False
501.0,True
-504.0,False
-504.0,False
-514.0,False
-503.0,False
-503.0,False
505.0,True
502.0,True
502.0,True
490.0,True
502.0,True
-504.0,False
502.0,True
-504.0,False
490.0,True
503.0,True
493.0,True
505.0,True
505.0,True
505.0,True
505.0,True
505.0,True
505.0,True
497.0,True
502.0,True
-503.0,False
505.0,True
493.0,True
504.0,True
505.0,True
505.0,True
-504.0,False
-504.0,False
505.0,True
493.0,True
503.0,True
495.0,True
503.0,True
505.0,True
-503.0,False
488.0,True
499.0,True
-503.0,False
497.0,True
505.0,True
505.0,True
505.0,True
505.0,True
505.0,True
504.0,True
492.0,True
494.0,True
-503.0,False
501.0,True
494.0,True
-503.0,False
504.0,True
505.0,True
505.0,True
505.0,True
491.0,True
505.0,True
505.0,True
505.0,True
505.0,True
499.0,True
498.0,True
505.0,True
504.0,True
505.0,True
498.0,True
505.0,True
494.0,True
497.0,True
505.0,True
498.0,True
502.0,True
478.0,True
502.0,True
490.0,True
497.0,True
-516.0,False
498.0,True
492.0,True
501.0,True
505.0,True
504.0,True
505.0,True
505.0,True
505.0,True
-503.0,False
505.0,True
493.0,True
501.0,True
503.0,True
503.0,True
503.0,True
505.0,True
505.0,True
485.0,True
498.0,True
493.0,True
505.0,True
505.0,True
501.0,True
501.0,True
501.0,True
494.0,True
-504.0,False
497.0,True
-503.0,False
505.0,True
-504.0,False
505.0,True
505.0,True
-504.0,False
505.0,True
501.0,True
493.0,True
503.0,True
498.0,True
505.0,True
-504.0,False
-504.0,False
496.0,True
497.0,True
-503.0,False
489.0,True
501.0,True
501.0,True
497.0,True
493.0,True
505.0,True
501.0,True
493.0,True
497.0,True
497.0,True
505.0,True
-507.0,False
505.0,True
495.0,True
493.0,True
505.0,True
505.0,True
497.0,True
505.0,True
502.0,True
505.0,True
502.0,True
505.0,True
-504.0,False
505.0,True
-503.0,False
497.0,True
505.0,True
505.0,True
-504.0,False
498.0,True
-504.0,False
-504.0,False
-503.0,False
497.0,True
502.0,True
-519.0,False
486.0,True
501.0,True
489.0,True
-549.0,False
501.0,True
491.0,True
501.0,True
501.0,True
505.0,True
497.0,True
498.0,True
-515.0,False
-503.0,False
488.0,True
493.0,True
503.0,True
503.0,True
502.0,True
501.0,True
505.0,True
501.0,True
493.0,True
-503.0,False
493.0,True
-504.0,False
-503.0,False
501.0,True
503.0,True
494.0,True
505.0,True
503.0,True
493.0,True
503.0,True
504.0,True
505.0,True
505.0,True
503.0,True
505.0,True
505.0,True
505.0,True
-503.0,False
494.0,True
494.0,True
496.0,True
493.0,True
505.0,True
505.0,True
503.0,True
-503.0,False
505.0,True
495.0,True
503.0,True
504.0,True
-503.0,False
505.0,True
505.0,True
-503.0,False
501.0,True
505.0,True
501.0,True
-503.0,False
497.0,True
505.0,True
503.0,True
494.0,True
504.0,True
-503.0,False
505.0,True
501.0,True
504.0,True
505.0,True
505.0,True
505.0,True
505.0,True
495.0,True
501.0,True
501.0,True
497.0,True
-502.0,False
460.0,True
474.0,True
501.0,True
489.0,True
477.0,True
-503.0,False
489.0,True
-515.0,False
498.0,True
-503.0,False
497.0,True
498.0,True
466.0,True
505.0,True
495.0,True
499.0,True
-515.0,False
-537.0,False
484.0,True
489.0,True
502.0,True
-504.0,False
500.0,True
490.0,True
490.0,True
490.0,True
499.0,True
-503.0,False
-504.0,False
490.0,True
490.0,True
-503.0,False
489.0,True
501.0,True
501.0,True
-504.0,False
501.0,True
501.0,True
497.0,True
502.0,True
495.0,True
-503.0,False
-506.0,False
-504.0,False
-516.0,False
-504.0,False
-503.0,False
-507.0,False
489.0,True
489.0,True
483.0,True
-503.0,False
498.0,True
489.0,True
478.0,True
499.0,True
-511.0,False
502.0,True
498.0,True
-503.0,False
-503.0,False
-503.0,False
478.0,True
493.0,True
-524.0,False
496.0,True
490.0,True
-504.0,False
-504.0,False
-504.0,False
501.0,True
-503.0,False
505.0,True
481.0,True
493.0,True
501.0,True
-504.0,False
505.0,True
497.0,True
-504.0,False
497.0,True
-504.0,False
501.0,True
-504.0,False
-504.0,False
485.0,True
502.0,True
505.0,True
497.0,True
503.0,True
505.0,True
502.0,True
-504.0,False
504.0,True
493.0,True
-504.0,False
494.0,True
498.0,True
492.0,True
493.0,True
491.0,True
493.0,True
505.0,True
494.0,True
-504.0,False
493.0,True
491.0,True
505.0,True
497.0,True
504.0,True
491.0,True
-503.0,False
501.0,True
493.0,True
504.0,True
493.0,True
505.0,True
-503.0,False
501.0,True
504.0,True
505.0,True
505.0,True
-503.0,False
-505.0,False
-503.0,False
505.0,True
505.0,True
494.0,True
497.0,True
500.0,True
493.0,True
-504.0,False
501.0,True
491.0,True
-503.0,False
-503.0,False
505.0,True
-515.0,False
505.0,True
-503.0,False
505.0,True
505.0,True
501.0,True
499.0,True
501.0,True
495.0,True
-503.0,False
501.0,True
486.0,True
492.0,True
505.0,True
503.0,True
504.0,True
503.0,True
497.0,True
494.0,True
505.0,True
-503.0,False
505.0,True
-504.0,False
-503.0,False
501.0,True
499.0,True
489.0,True
-504.0,False
498.0,True
505.0,True
497.0,True
497.0,True
505.0,True
505.0,True
505.0,True
504.0,True
495.0,True
505.0,True
-503.0,False
497.0,True
505.0,True
-503.0,False
501.0,True
505.0,True
505.0,True
491.0,True
497.0,True
505.0,True
504.0,True
-504.0,False
505.0,True
505.0,True
504.0,True
493.0,True
505.0,True
-504.0,False
504.0,True
-503.0,False
494.0,True
493.0,True
494.0,True
493.0,True
505.0,True
-503.0,False
-503.0,False
503.0,True
-508.0,False
502.0,True
502.0,True
494.0,True
505.0,True
493.0,True
499.0,True
503.0,True
495.0,True
504.0,True
505.0,True
493.0,True
494.0,True
505.0,True
503.0,True
504.0,True
493.0,True
491.0,True
-504.0,False
-503.0,False
505.0,True
505.0,True
494.0,True
-504.0,False
493.0,True
494.0,True
505.0,True
503.0,True
497.0,True
497.0,True
478.0,True
503.0,True
503.0,True
505.0,True
497.0,True
505.0,True
505.0,True
505.0,True
-504.0,False
505.0,True
505.0,True
-504.0,False
494.0,True
-503.0,False
505.0,True
494.0,True
497.0,True
-503.0,False
502.0,True
495.0,True
498.0,True
-519.0,False
491.0,True
502.0,True
-504.0,False
501.0,True
489.0,True
491.0,True
501.0,True
501.0,True
-503.0,False
502.0,True
494.0,True
-503.0,False
505.0,True
504.0,True
501.0,True
505.0,True
505.0,True
-503.0,False
-504.0,False
-508.0,False
491.0,True
-503.0,False
-503.0,False
502.0,True
502.0,True
502.0,True
490.0,True
478.0,True
-504.0,False
-516.0,False
494.0,True
500.0,True
498.0,True
498.0,True
-504.0,False
502.0,True
500.0,True
485.0,True
494.0,True
504.0,True
494.0,True
505.0,True
505.0,True
505.0,True
494.0,True
501.0,True
505.0,True
498.0,True
505.0,True
-515.0,False
500.0,True
503.0,True
503.0,True
496.0,True
497.0,True
495.0,True
478.0,True
501.0,True
-503.0,False
495.0,True
489.0,True
489.0,True
474.0,True
-503.0,False
499.0,True
-516.0,False
-509.0,False
501.0,True
490.0,True
-504.0,False
474.0,True
-505.0,False
-504.0,False
-508.0,False
497.0,True
500.0,True
497.0,True
493.0,True
465.0,True
-503.0,False
-503.0,False
460.0,True
502.0,True
485.0,True
-504.0,False
499.0,True
478.0,True
483.0,True
-503.0,False
500.0,True
501.0,True
499.0,True
501.0,True
450.0,True
486.0,True
501.0,True
-516.0,False
437.0,True
490.0,True
488.0,True
488.0,True
-504.0,False
-504.0,False
485.0,True
-503.0,False
501.0,True
-503.0,False
-504.0,False
489.0,True
-504.0,False
501.0,True
489.0,True
501.0,True
502.0,True
462.0,True
502.0,True
-503.0,False
502.0,True
462.0,True
480.0,True
502.0,True
-504.0,False
462.0,True
-516.0,False
499.0,True
449.0,True
501.0,True
497.0,True
490.0,True
452.0,True
-503.0,False
490.0,True
499.0,True
-504.0,False
488.0,True
-503.0,False
502.0,True
478.0,True
501.0,True
-503.0,False
490.0,True
497.0,True
490.0,True
502.0,True
485.0,True
-515.0,False
-503.0,False
474.0,True
-504.0,False
-531.0,False
-502.0,False
-506.0,False
501.0,True
502.0,True
-503.0,False
490.0,True
490.0,True
501.0,True
502.0,True
490.0,True
498.0,True
497.0,True
-503.0,False
501.0,True
502.0,True
-503.0,False
-503.0,False
